INSERT INTO przedmiot VALUES (0, 'Polski', 'laboratorium');
INSERT INTO przedmiot VALUES (1, 'Polski', 'ćwiczenia');
INSERT INTO przedmiot VALUES (2, 'Polski', 'wykład');
INSERT INTO przedmiot VALUES (3, 'Matematyka', 'laboratorium');
INSERT INTO przedmiot VALUES (4, 'Matematyka', 'ćwiczenia');
INSERT INTO przedmiot VALUES (5, 'Matematyka', 'wykład');
INSERT INTO przedmiot VALUES (6, 'Fizyka', 'laboratorium');
INSERT INTO przedmiot VALUES (7, 'Fizyka', 'ćwiczenia');
INSERT INTO przedmiot VALUES (8, 'Fizyka', 'wykład');
INSERT INTO przedmiot VALUES (9, 'Programowanie w c++', 'laboratorium');
INSERT INTO przedmiot VALUES (10, 'Programowanie w c++', 'ćwiczenia');
INSERT INTO przedmiot VALUES (11, 'Programowanie w c++', 'wykład');
INSERT INTO przedmiot VALUES (12, 'Programowanie w c', 'laboratorium');
INSERT INTO przedmiot VALUES (13, 'Programowanie w c', 'ćwiczenia');
INSERT INTO przedmiot VALUES (14, 'Programowanie w c', 'wykład');
INSERT INTO przedmiot VALUES (15, 'Programowanie obiektowe', 'laboratorium');
INSERT INTO przedmiot VALUES (16, 'Programowanie obiektowe', 'ćwiczenia');
INSERT INTO przedmiot VALUES (17, 'Programowanie obiektowe', 'wykład');
INSERT INTO przedmiot VALUES (18, 'Bazy dancyh 1', 'laboratorium');
INSERT INTO przedmiot VALUES (19, 'Bazy dancyh 1', 'ćwiczenia');
INSERT INTO przedmiot VALUES (20, 'Bazy dancyh 1', 'wykład');
INSERT INTO przedmiot VALUES (21, 'Bazy danych 2', 'laboratorium');
INSERT INTO przedmiot VALUES (22, 'Bazy danych 2', 'ćwiczenia');
INSERT INTO przedmiot VALUES (23, 'Bazy danych 2', 'wykład');
INSERT INTO przedmiot VALUES (24, 'Sieci', 'laboratorium');
INSERT INTO przedmiot VALUES (25, 'Sieci', 'ćwiczenia');
INSERT INTO przedmiot VALUES (26, 'Sieci', 'wykład');
INSERT INTO przedmiot VALUES (27, 'Algorytmy', 'laboratorium');
INSERT INTO przedmiot VALUES (28, 'Algorytmy', 'ćwiczenia');
INSERT INTO przedmiot VALUES (29, 'Algorytmy', 'wykład');
