INSERT INTO zaliczenie VALUES (0, 1, 0, 1, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (1, 1, 0, 1, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (2, 5, 1, 5, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (3, 5, 1, 5, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (4, 5, 2, 5, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (5, 5, 2, 5, 2, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (6, 14, 3, 14, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (7, 21, 4, 21, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (8, 23, 5, 23, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (9, 23, 5, 23, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (10, 0, 6, 0, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (11, 23, 7, 23, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (12, 0, 8, 0, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (13, 7, 9, 7, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (14, 4, 10, 4, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (15, 4, 10, 4, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (16, 22, 11, 22, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (17, 3, 12, 3, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (18, 10, 13, 10, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (19, 10, 13, 10, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (20, 8, 14, 8, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (21, 8, 14, 8, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (22, 19, 15, 19, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (23, 19, 15, 19, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (24, 12, 16, 12, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (25, 26, 17, 26, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (26, 26, 17, 26, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (27, 3, 18, 3, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (28, 3, 18, 3, 2, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (29, 3, 18, 3, 3, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (30, 23, 19, 23, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (31, 26, 20, 26, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (32, 5, 21, 5, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (33, 5, 21, 5, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (34, 3, 22, 3, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (35, 0, 23, 0, 1, Date '2017-12-23', 2);
